,Protein families
337107,Class-A beta-lactamase family
152887,Class-A beta-lactamase family
78345,Class-A beta-lactamase family
77305,Class-A beta-lactamase family
68882,Class-A beta-lactamase family
6970,Class-A beta-lactamase family
425279,Class-A beta-lactamase family
210333,Class-A beta-lactamase family
358463,Class-A beta-lactamase family
145186,Class-A beta-lactamase family
424048,Class-A beta-lactamase family
261228,Class-A beta-lactamase family
343933,Class-A beta-lactamase family
16179,Class-A beta-lactamase family
73230,Class-A beta-lactamase family
207613,Class-A beta-lactamase family
58300,Class-A beta-lactamase family
349991,Class-A beta-lactamase family
58185,Class-A beta-lactamase family
216222,Class-A beta-lactamase family
283975,Class-A beta-lactamase family
227354,Class-A beta-lactamase family
422365,Class-A beta-lactamase family
192612,Class-A beta-lactamase family
411475,Class-A beta-lactamase family
161454,Class-A beta-lactamase family
343216,Class-A beta-lactamase family
62982,Class-A beta-lactamase family
249964,Class-A beta-lactamase family
217639,Class-A beta-lactamase family
342331,Class-A beta-lactamase family
343960,Class-A beta-lactamase family
146583,Class-A beta-lactamase family
85451,Class-A beta-lactamase family
345795,Class-A beta-lactamase family
19416,Class-A beta-lactamase family
273875,Class-A beta-lactamase family
78681,Class-A beta-lactamase family
3422,Class-A beta-lactamase family
52268,Class-A beta-lactamase family
33079,Class-A beta-lactamase family
421921,Class-A beta-lactamase family
173170,Class-A beta-lactamase family
408796,Class-A beta-lactamase family
248597,Class-A beta-lactamase family
43719,Class-A beta-lactamase family
423897,Class-A beta-lactamase family
49359,Class-A beta-lactamase family
338087,Class-A beta-lactamase family
420821,Class-A beta-lactamase family
419567,Class-A beta-lactamase family
384655,Class-A beta-lactamase family
85573,Class-A beta-lactamase family
423992,Class-A beta-lactamase family
422713,Class-A beta-lactamase family
337981,Class-A beta-lactamase family
106692,Class-A beta-lactamase family
70558,Class-A beta-lactamase family
422908,Class-A beta-lactamase family
45795,Class-A beta-lactamase family
84746,Class-A beta-lactamase family
347301,Class-A beta-lactamase family
104749,Class-A beta-lactamase family
95831,Class-A beta-lactamase family
311653,Class-A beta-lactamase family
423815,Class-A beta-lactamase family
183492,Class-A beta-lactamase family
173145,Class-A beta-lactamase family
361445,Class-A beta-lactamase family
432341,Class-A beta-lactamase family
425526,Class-A beta-lactamase family
255273,Class-A beta-lactamase family
438716,Class-A beta-lactamase family
424487,Class-A beta-lactamase family
323003,Class-A beta-lactamase family
437868,Class-A beta-lactamase family
173052,Class-A beta-lactamase family
74723,Class-A beta-lactamase family
342330,Class-A beta-lactamase family
501257,Class-A beta-lactamase family
400928,Class-A beta-lactamase family
108200,Class-A beta-lactamase family
178089,Class-A beta-lactamase family
341766,Class-A beta-lactamase family
17784,Class-A beta-lactamase family
41142,Class-A beta-lactamase family
138620,Class-A beta-lactamase family
346007,Class-A beta-lactamase family
476266,Class-A beta-lactamase family
235550,Class-A beta-lactamase family
81081,Class-A beta-lactamase family
340276,Class-A beta-lactamase family
423661,Class-A beta-lactamase family
55640,Class-A beta-lactamase family
126858,Class-A beta-lactamase family
72974,Class-A beta-lactamase family
459932,Class-A beta-lactamase family
424615,Class-A beta-lactamase family
430893,Class-A beta-lactamase family
111897,Class-A beta-lactamase family
241612,Class-A beta-lactamase family
67284,Class-A beta-lactamase family
346550,Class-A beta-lactamase family
429310,Class-A beta-lactamase family
459637,Class-A beta-lactamase family
401243,Class-A beta-lactamase family
335848,Class-A beta-lactamase family
68668,Class-A beta-lactamase family
443269,Class-A beta-lactamase family
228080,Class-A beta-lactamase family
167038,Class-A beta-lactamase family
109714,Class-A beta-lactamase family
291801,Class-A beta-lactamase family
341199,Class-A beta-lactamase family
422820,Class-A beta-lactamase family
73490,Class-A beta-lactamase family
362428,Class-A beta-lactamase family
419203,Class-A beta-lactamase family
153459,Class-A beta-lactamase family
463063,Class-A beta-lactamase family
338061,Class-A beta-lactamase family
426201,Class-A beta-lactamase family
147474,Class-A beta-lactamase family
45437,Class-A beta-lactamase family
303804,Class-A beta-lactamase family
291459,Class-A beta-lactamase family
59714,Class-A beta-lactamase family
328342,Class-A beta-lactamase family
107116,Class-A beta-lactamase family
422316,Class-A beta-lactamase family
346026,Class-A beta-lactamase family
499775,Class-A beta-lactamase family
432682,Class-A beta-lactamase family
414356,Class-A beta-lactamase family
122957,Class-A beta-lactamase family
476895,Class-A beta-lactamase family
495741,Class-A beta-lactamase family
419238,Class-A beta-lactamase family
335594,Class-A beta-lactamase family
96723,Class-A beta-lactamase family
340618,Class-A beta-lactamase family
78576,Class-A beta-lactamase family
422021,Class-A beta-lactamase family
343940,Class-A beta-lactamase family
460806,Class-A beta-lactamase family
254384,Class-A beta-lactamase family
343116,Class-A beta-lactamase family
432823,Class-A beta-lactamase family
425683,Class-A beta-lactamase family
410183,Class-A beta-lactamase family
183738,Class-A beta-lactamase family
425755,Class-A beta-lactamase family
428105,Class-A beta-lactamase family
270452,Hcp beta-lactamase family
384433,Hcp beta-lactamase family
302531,Hcp beta-lactamase family
236566,Hcp beta-lactamase family
311777,Hcp beta-lactamase family
14092,Hcp beta-lactamase family
253261,Hcp beta-lactamase family
13295,Hcp beta-lactamase family
409999,Hcp beta-lactamase family
419038,Hcp beta-lactamase family
320363,Hcp beta-lactamase family
418967,Hcp beta-lactamase family
334679,Hcp beta-lactamase family
334019,Hcp beta-lactamase family
490600,Hcp beta-lactamase family
38108,Hcp beta-lactamase family
226552,Hcp beta-lactamase family
419015,Hcp beta-lactamase family
13927,Hcp beta-lactamase family
110378,Hcp beta-lactamase family
16549,Hcp beta-lactamase family
12984,Hcp beta-lactamase family
10820,Hcp beta-lactamase family
14546,Hcp beta-lactamase family
124602,Hcp beta-lactamase family
406713,Hcp beta-lactamase family
219103,Hcp beta-lactamase family
142753,Hcp beta-lactamase family
12459,Hcp beta-lactamase family
334939,Hcp beta-lactamase family
48379,Hcp beta-lactamase family
334103,Hcp beta-lactamase family
31708,Hcp beta-lactamase family
14249,Hcp beta-lactamase family
156979,Hcp beta-lactamase family
217069,Hcp beta-lactamase family
14701,Hcp beta-lactamase family
389245,Hcp beta-lactamase family
334623,Hcp beta-lactamase family
13657,Hcp beta-lactamase family
204873,Hcp beta-lactamase family
232012,Hcp beta-lactamase family
13151,Hcp beta-lactamase family
334661,Hcp beta-lactamase family
302737,Hcp beta-lactamase family
334212,Hcp beta-lactamase family
388067,Hcp beta-lactamase family
207115,Hcp beta-lactamase family
49900,Hcp beta-lactamase family
13649,Hcp beta-lactamase family
419053,Hcp beta-lactamase family
328251,Hcp beta-lactamase family
49010,Hcp beta-lactamase family
13537,Hcp beta-lactamase family
334390,Hcp beta-lactamase family
471062,Hcp beta-lactamase family
375582,Hcp beta-lactamase family
419334,Hcp beta-lactamase family
12913,Hcp beta-lactamase family
375646,Hcp beta-lactamase family
399385,Hcp beta-lactamase family
227055,Hcp beta-lactamase family
13708,Hcp beta-lactamase family
10532,Hcp beta-lactamase family
36313,Hcp beta-lactamase family
171673,Hcp beta-lactamase family
384617,Hcp beta-lactamase family
334887,Hcp beta-lactamase family
480053,Hcp beta-lactamase family
268611,Hcp beta-lactamase family
60095,Hcp beta-lactamase family
326959,Hcp beta-lactamase family
79971,Hcp beta-lactamase family
398491,Hcp beta-lactamase family
30431,Hcp beta-lactamase family
226909,Hcp beta-lactamase family
251137,Hcp beta-lactamase family
22537,Hcp beta-lactamase family
465602,Hcp beta-lactamase family
13114,Hcp beta-lactamase family
335260,Hcp beta-lactamase family
86538,Hcp beta-lactamase family
273319,Hcp beta-lactamase family
313106,Hcp beta-lactamase family
44766,Hcp beta-lactamase family
10424,Hcp beta-lactamase family
158214,Hcp beta-lactamase family
14601,Hcp beta-lactamase family
13861,Hcp beta-lactamase family
115606,Hcp beta-lactamase family
436995,Hcp beta-lactamase family
144471,Hcp beta-lactamase family
490557,Hcp beta-lactamase family
242770,Hcp beta-lactamase family
161707,Hcp beta-lactamase family
12541,Hcp beta-lactamase family
227083,Hcp beta-lactamase family
479871,Hcp beta-lactamase family
490594,Hcp beta-lactamase family
469948,Hcp beta-lactamase family
450142,Hcp beta-lactamase family
421705,Hcp beta-lactamase family
108433,Hcp beta-lactamase family
314981,Hcp beta-lactamase family
387580,Hcp beta-lactamase family
9822,Hcp beta-lactamase family
255461,Hcp beta-lactamase family
13457,Hcp beta-lactamase family
227207,Hcp beta-lactamase family
13566,Hcp beta-lactamase family
334105,Hcp beta-lactamase family
12560,Hcp beta-lactamase family
183065,Hcp beta-lactamase family
12803,Hcp beta-lactamase family
302749,Hcp beta-lactamase family
147185,Hcp beta-lactamase family
334350,Hcp beta-lactamase family
14004,Hcp beta-lactamase family
10636,Hcp beta-lactamase family
159466,Hcp beta-lactamase family
12317,Hcp beta-lactamase family
422033,Hcp beta-lactamase family
251207,Hcp beta-lactamase family
208802,Hcp beta-lactamase family
14001,Hcp beta-lactamase family
15582,Hcp beta-lactamase family
10369,Hcp beta-lactamase family
72464,Hcp beta-lactamase family
275875,Hcp beta-lactamase family
375503,Hcp beta-lactamase family
208763,Hcp beta-lactamase family
14719,Hcp beta-lactamase family
359786,Hcp beta-lactamase family
434873,Hcp beta-lactamase family
12759,Hcp beta-lactamase family
309236,Hcp beta-lactamase family
451079,Hcp beta-lactamase family
13523,Hcp beta-lactamase family
2637,Hcp beta-lactamase family
12722,Hcp beta-lactamase family
502239,Hcp beta-lactamase family
101541,Hcp beta-lactamase family
421970,Hcp beta-lactamase family
410134,Hcp beta-lactamase family
335725,Hcp beta-lactamase family
421840,Hcp beta-lactamase family
335347,Hcp beta-lactamase family
302834,Hcp beta-lactamase family
14875,Hcp beta-lactamase family
8480,Hcp beta-lactamase family
419136,Hcp beta-lactamase family
71752,Hcp beta-lactamase family
132502,Hcp beta-lactamase family
335357,Hcp beta-lactamase family
10899,Hcp beta-lactamase family
134386,Hcp beta-lactamase family
12501,Hcp beta-lactamase family
13605,Hcp beta-lactamase family
102289,Hcp beta-lactamase family
419060,Hcp beta-lactamase family
149803,Hcp beta-lactamase family
170159,Hcp beta-lactamase family
209949,Hcp beta-lactamase family
421478,Hcp beta-lactamase family
14026,Hcp beta-lactamase family
46182,Hcp beta-lactamase family
270676,Hcp beta-lactamase family
418923,Hcp beta-lactamase family
15833,Hcp beta-lactamase family
313405,Hcp beta-lactamase family
418957,Hcp beta-lactamase family
329426,Hcp beta-lactamase family
171130,Hcp beta-lactamase family
410347,Hcp beta-lactamase family
334453,Hcp beta-lactamase family
13219,Hcp beta-lactamase family
86759,Hcp beta-lactamase family
335349,Hcp beta-lactamase family
403855,Hcp beta-lactamase family
418832,Hcp beta-lactamase family
75448,Hcp beta-lactamase family
335485,Hcp beta-lactamase family
334268,Hcp beta-lactamase family
23431,Hcp beta-lactamase family
31315,Hcp beta-lactamase family
11311,Hcp beta-lactamase family
13898,Hcp beta-lactamase family
173974,Hcp beta-lactamase family
133702,Hcp beta-lactamase family
30612,Hcp beta-lactamase family
169843,Hcp beta-lactamase family
13839,Hcp beta-lactamase family
334657,Hcp beta-lactamase family
13472,Hcp beta-lactamase family
326958,Hcp beta-lactamase family
43630,Hcp beta-lactamase family
72882,Hcp beta-lactamase family
217106,Hcp beta-lactamase family
421978,Hcp beta-lactamase family
303594,Hcp beta-lactamase family
441276,Hcp beta-lactamase family
316785,Hcp beta-lactamase family
333417,Hcp beta-lactamase family
126941,Hcp beta-lactamase family
335903,Hcp beta-lactamase family
375725,Hcp beta-lactamase family
173935,Hcp beta-lactamase family
341873,Hcp beta-lactamase family
71322,Hcp beta-lactamase family
343867,Hcp beta-lactamase family
312977,Hcp beta-lactamase family
327034,Hcp beta-lactamase family
175895,Hcp beta-lactamase family
410181,Hcp beta-lactamase family
52327,Hcp beta-lactamase family
106932,Hcp beta-lactamase family
310541,Hcp beta-lactamase family
12970,Hcp beta-lactamase family
335377,Hcp beta-lactamase family
13110,Hcp beta-lactamase family
13926,Hcp beta-lactamase family
14348,Hcp beta-lactamase family
273684,Hcp beta-lactamase family
469569,Hcp beta-lactamase family
14028,Hcp beta-lactamase family
126523,Hcp beta-lactamase family
49893,Hcp beta-lactamase family
116540,Hcp beta-lactamase family
13776,Hcp beta-lactamase family
12438,Hcp beta-lactamase family
399614,Hcp beta-lactamase family
330918,Hcp beta-lactamase family
10931,Hcp beta-lactamase family
442320,Hcp beta-lactamase family
419118,Hcp beta-lactamase family
377671,Hcp beta-lactamase family
14437,Hcp beta-lactamase family
12604,Hcp beta-lactamase family
61264,Hcp beta-lactamase family
499082,Hcp beta-lactamase family
465488,Hcp beta-lactamase family
13766,Hcp beta-lactamase family
30280,Hcp beta-lactamase family
106575,Hcp beta-lactamase family
421737,Hcp beta-lactamase family
133970,Hcp beta-lactamase family
335141,Hcp beta-lactamase family
106268,Hcp beta-lactamase family
409302,Hcp beta-lactamase family
70465,Hcp beta-lactamase family
13595,Hcp beta-lactamase family
97277,Hcp beta-lactamase family
237962,Hcp beta-lactamase family
421402,Hcp beta-lactamase family
404659,Hcp beta-lactamase family
373712,Hcp beta-lactamase family
106496,Hcp beta-lactamase family
445930,Hcp beta-lactamase family
428605,Hcp beta-lactamase family
235598,Hcp beta-lactamase family
11315,Hcp beta-lactamase family
30647,Hcp beta-lactamase family
436160,Hcp beta-lactamase family
47303,Hcp beta-lactamase family
23013,Hcp beta-lactamase family
233413,Hcp beta-lactamase family
13845,Hcp beta-lactamase family
421863,Hcp beta-lactamase family
335678,Hcp beta-lactamase family
13117,Hcp beta-lactamase family
133889,Hcp beta-lactamase family
228756,Hcp beta-lactamase family
86323,Hcp beta-lactamase family
355500,Hcp beta-lactamase family
177116,Hcp beta-lactamase family
14468,Hcp beta-lactamase family
335674,Hcp beta-lactamase family
12752,Hcp beta-lactamase family
14604,Hcp beta-lactamase family
325084,Hcp beta-lactamase family
13217,Hcp beta-lactamase family
335573,Hcp beta-lactamase family
14129,Hcp beta-lactamase family
379775,Hcp beta-lactamase family
211164,Hcp beta-lactamase family
447357,Hcp beta-lactamase family
146113,Hcp beta-lactamase family
242499,Hcp beta-lactamase family
70381,Hcp beta-lactamase family
368132,Hcp beta-lactamase family
106023,Hcp beta-lactamase family
334066,Hcp beta-lactamase family
221596,Hcp beta-lactamase family
432505,Hcp beta-lactamase family
334566,Hcp beta-lactamase family
302600,Hcp beta-lactamase family
303746,Hcp beta-lactamase family
456236,Hcp beta-lactamase family
343545,Hcp beta-lactamase family
334629,Hcp beta-lactamase family
273548,Hcp beta-lactamase family
375715,Hcp beta-lactamase family
120963,Hcp beta-lactamase family
148993,Hcp beta-lactamase family
355335,Hcp beta-lactamase family
242123,Hcp beta-lactamase family
10859,Hcp beta-lactamase family
10534,Hcp beta-lactamase family
269340,Hcp beta-lactamase family
399063,Hcp beta-lactamase family
373897,Hcp beta-lactamase family
471445,Hcp beta-lactamase family
453266,Hcp beta-lactamase family
16502,Hcp beta-lactamase family
124783,Hcp beta-lactamase family
53992,Hcp beta-lactamase family
57345,Hcp beta-lactamase family
411495,Hcp beta-lactamase family
335319,Hcp beta-lactamase family
369216,Hcp beta-lactamase family
465731,Hcp beta-lactamase family
13230,Hcp beta-lactamase family
302627,Hcp beta-lactamase family
67881,Hcp beta-lactamase family
402936,Hcp beta-lactamase family
14292,Hcp beta-lactamase family
203988,Hcp beta-lactamase family
409326,Hcp beta-lactamase family
325845,Hcp beta-lactamase family
328296,Hcp beta-lactamase family
233693,Hcp beta-lactamase family
325681,Hcp beta-lactamase family
12871,Hcp beta-lactamase family
349423,Hcp beta-lactamase family
23257,Hcp beta-lactamase family
12569,Hcp beta-lactamase family
349061,Hcp beta-lactamase family
334982,Hcp beta-lactamase family
421702,Hcp beta-lactamase family
13698,Hcp beta-lactamase family
13742,Hcp beta-lactamase family
334447,Hcp beta-lactamase family
14253,Hcp beta-lactamase family
23771,Hcp beta-lactamase family
207762,Hcp beta-lactamase family
343622,Hcp beta-lactamase family
79557,Hcp beta-lactamase family
30532,Hcp beta-lactamase family
335114,Hcp beta-lactamase family
12983,Hcp beta-lactamase family
335688,Hcp beta-lactamase family
335606,Hcp beta-lactamase family
7368,Hcp beta-lactamase family
314013,Hcp beta-lactamase family
204968,Hcp beta-lactamase family
362381,Hcp beta-lactamase family
10637,Hcp beta-lactamase family
334896,Hcp beta-lactamase family
125187,Hcp beta-lactamase family
418959,Hcp beta-lactamase family
355591,Hcp beta-lactamase family
393979,Hcp beta-lactamase family
105191,Hcp beta-lactamase family
14152,Hcp beta-lactamase family
349194,Hcp beta-lactamase family
13705,Hcp beta-lactamase family
16641,Hcp beta-lactamase family
273334,Hcp beta-lactamase family
13353,Hcp beta-lactamase family
419576,Hcp beta-lactamase family
335133,Hcp beta-lactamase family
217241,Hcp beta-lactamase family
14989,Hcp beta-lactamase family
418774,Hcp beta-lactamase family
410022,Hcp beta-lactamase family
105957,Hcp beta-lactamase family
71660,Hcp beta-lactamase family
320392,Hcp beta-lactamase family
13029,Hcp beta-lactamase family
13954,Hcp beta-lactamase family
139091,Hcp beta-lactamase family
420251,Hcp beta-lactamase family
378989,Hcp beta-lactamase family
248290,Hcp beta-lactamase family
335091,Hcp beta-lactamase family
254988,Hcp beta-lactamase family
206882,Hcp beta-lactamase family
110961,Hcp beta-lactamase family
455123,Hcp beta-lactamase family
133909,Hcp beta-lactamase family
502058,Hcp beta-lactamase family
335963,Hcp beta-lactamase family
169765,Hcp beta-lactamase family
276301,Hcp beta-lactamase family
13572,Hcp beta-lactamase family
452637,Hcp beta-lactamase family
421886,Hcp beta-lactamase family
334998,Hcp beta-lactamase family
502417,Hcp beta-lactamase family
137659,Hcp beta-lactamase family
14542,Hcp beta-lactamase family
316963,Hcp beta-lactamase family
16689,Hcp beta-lactamase family
472470,Hcp beta-lactamase family
153893,Hcp beta-lactamase family
225298,Hcp beta-lactamase family
404304,Hcp beta-lactamase family
157297,Hcp beta-lactamase family
175179,Hcp beta-lactamase family
375487,Hcp beta-lactamase family
12483,Hcp beta-lactamase family
13747,Hcp beta-lactamase family
87148,Hcp beta-lactamase family
119629,Hcp beta-lactamase family
355579,Hcp beta-lactamase family
69471,Hcp beta-lactamase family
65737,Hcp beta-lactamase family
216110,Hcp beta-lactamase family
13869,Hcp beta-lactamase family
12611,Hcp beta-lactamase family
465578,Hcp beta-lactamase family
235155,Hcp beta-lactamase family
121681,Hcp beta-lactamase family
13464,Hcp beta-lactamase family
14233,Hcp beta-lactamase family
11348,Hcp beta-lactamase family
92411,Hcp beta-lactamase family
400039,Hcp beta-lactamase family
12673,Hcp beta-lactamase family
9617,Hcp beta-lactamase family
14424,Hcp beta-lactamase family
3788,Hcp beta-lactamase family
343987,Hcp beta-lactamase family
455243,Hcp beta-lactamase family
31342,Hcp beta-lactamase family
334628,Hcp beta-lactamase family
238265,Hcp beta-lactamase family
290564,Hcp beta-lactamase family
393353,Hcp beta-lactamase family
46379,Hcp beta-lactamase family
302489,Hcp beta-lactamase family
13453,Hcp beta-lactamase family
11263,Hcp beta-lactamase family
334613,Hcp beta-lactamase family
375608,Hcp beta-lactamase family
313681,Hcp beta-lactamase family
428763,Hcp beta-lactamase family
13849,Hcp beta-lactamase family
490479,Hcp beta-lactamase family
222670,Hcp beta-lactamase family
270439,Hcp beta-lactamase family
14086,Hcp beta-lactamase family
321915,Hcp beta-lactamase family
378535,Hcp beta-lactamase family
12881,Hcp beta-lactamase family
335367,Hcp beta-lactamase family
305113,Hcp beta-lactamase family
304360,Hcp beta-lactamase family
13880,Hcp beta-lactamase family
335197,Hcp beta-lactamase family
407320,Hcp beta-lactamase family
7560,Hcp beta-lactamase family
13645,Hcp beta-lactamase family
188774,Hcp beta-lactamase family
389089,Hcp beta-lactamase family
334464,Hcp beta-lactamase family
792,Hcp beta-lactamase family
334388,Hcp beta-lactamase family
470055,Hcp beta-lactamase family
14475,Hcp beta-lactamase family
335395,Hcp beta-lactamase family
416503,Hcp beta-lactamase family
15079,Hcp beta-lactamase family
12802,Hcp beta-lactamase family
14698,Hcp beta-lactamase family
324807,Hcp beta-lactamase family
14787,Hcp beta-lactamase family
12275,Hcp beta-lactamase family
389712,Hcp beta-lactamase family
40255,Hcp beta-lactamase family
249461,Hcp beta-lactamase family
13516,Hcp beta-lactamase family
334353,Hcp beta-lactamase family
15339,Hcp beta-lactamase family
49891,Hcp beta-lactamase family
14090,Hcp beta-lactamase family
216903,Hcp beta-lactamase family
14674,Hcp beta-lactamase family
21031,Hcp beta-lactamase family
276807,Hcp beta-lactamase family
335316,Hcp beta-lactamase family
12295,Hcp beta-lactamase family
343955,Hcp beta-lactamase family
64676,Hcp beta-lactamase family
465668,Hcp beta-lactamase family
116554,Hcp beta-lactamase family
12567,Hcp beta-lactamase family
334495,Hcp beta-lactamase family
13264,Hcp beta-lactamase family
223853,Hcp beta-lactamase family
14868,Hcp beta-lactamase family
204995,Hcp beta-lactamase family
114010,Hcp beta-lactamase family
310419,Hcp beta-lactamase family
490612,Hcp beta-lactamase family
334510,Hcp beta-lactamase family
405736,Hcp beta-lactamase family
335259,Hcp beta-lactamase family
335184,Hcp beta-lactamase family
308642,Hcp beta-lactamase family
39397,Hcp beta-lactamase family
177903,Hcp beta-lactamase family
10418,Hcp beta-lactamase family
302957,Hcp beta-lactamase family
30566,Hcp beta-lactamase family
110349,Hcp beta-lactamase family
275738,Hcp beta-lactamase family
398941,Hcp beta-lactamase family
13306,Hcp beta-lactamase family
318409,Hcp beta-lactamase family
624,Hcp beta-lactamase family
421302,Hcp beta-lactamase family
174509,Hcp beta-lactamase family
13316,Hcp beta-lactamase family
12331,Hcp beta-lactamase family
313768,Hcp beta-lactamase family
101132,Hcp beta-lactamase family
464518,Hcp beta-lactamase family
13231,Hcp beta-lactamase family
335201,Hcp beta-lactamase family
409988,Hcp beta-lactamase family
300625,Hcp beta-lactamase family
335703,Hcp beta-lactamase family
234104,Hcp beta-lactamase family
149210,Hcp beta-lactamase family
457857,Hcp beta-lactamase family
362990,Hcp beta-lactamase family
235835,Hcp beta-lactamase family
57303,Hcp beta-lactamase family
12517,Hcp beta-lactamase family
389423,Hcp beta-lactamase family
334298,Hcp beta-lactamase family
277456,Hcp beta-lactamase family
453993,Hcp beta-lactamase family
11579,Hcp beta-lactamase family
334736,Hcp beta-lactamase family
421474,Hcp beta-lactamase family
14760,Hcp beta-lactamase family
372905,Hcp beta-lactamase family
268927,Hcp beta-lactamase family
185477,Hcp beta-lactamase family
377059,Hcp beta-lactamase family
23374,Hcp beta-lactamase family
82770,Hcp beta-lactamase family
302096,Hcp beta-lactamase family
97974,Hcp beta-lactamase family
241954,Hcp beta-lactamase family
21277,Hcp beta-lactamase family
383368,Hcp beta-lactamase family
193,Hcp beta-lactamase family
14247,Hcp beta-lactamase family
340691,Hcp beta-lactamase family
421969,Hcp beta-lactamase family
334456,Hcp beta-lactamase family
108359,Hcp beta-lactamase family
13381,Hcp beta-lactamase family
13693,Hcp beta-lactamase family
22481,Hcp beta-lactamase family
149064,Hcp beta-lactamase family
420771,Hcp beta-lactamase family
363317,Hcp beta-lactamase family
452746,Hcp beta-lactamase family
421824,Hcp beta-lactamase family
324278,Hcp beta-lactamase family
13280,Hcp beta-lactamase family
334570,Hcp beta-lactamase family
375620,Hcp beta-lactamase family
335509,Hcp beta-lactamase family
216371,Hcp beta-lactamase family
14060,Hcp beta-lactamase family
310648,Hcp beta-lactamase family
411325,Hcp beta-lactamase family
446808,Hcp beta-lactamase family
432333,Hcp beta-lactamase family
334842,Hcp beta-lactamase family
502023,Hcp beta-lactamase family
335426,Hcp beta-lactamase family
334522,Hcp beta-lactamase family
13262,Hcp beta-lactamase family
174189,Hcp beta-lactamase family
334668,Hcp beta-lactamase family
334686,Hcp beta-lactamase family
13857,Hcp beta-lactamase family
12370,Hcp beta-lactamase family
10547,Hcp beta-lactamase family
403118,Hcp beta-lactamase family
405283,Hcp beta-lactamase family
409061,Hcp beta-lactamase family
335127,Hcp beta-lactamase family
335559,Hcp beta-lactamase family
101396,Hcp beta-lactamase family
217068,Hcp beta-lactamase family
14295,Hcp beta-lactamase family
11351,Hcp beta-lactamase family
13871,Hcp beta-lactamase family
13990,Hcp beta-lactamase family
13032,Hcp beta-lactamase family
61602,Hcp beta-lactamase family
303624,Hcp beta-lactamase family
302995,Hcp beta-lactamase family
334174,Hcp beta-lactamase family
11280,Hcp beta-lactamase family
11371,Hcp beta-lactamase family
14573,Hcp beta-lactamase family
13957,Hcp beta-lactamase family
313693,Hcp beta-lactamase family
13393,Hcp beta-lactamase family
15563,Hcp beta-lactamase family
356191,Hcp beta-lactamase family
359301,Hcp beta-lactamase family
334687,Hcp beta-lactamase family
71337,Hcp beta-lactamase family
335548,Hcp beta-lactamase family
254553,Hcp beta-lactamase family
323940,Hcp beta-lactamase family
14157,Hcp beta-lactamase family
10946,Hcp beta-lactamase family
465044,Hcp beta-lactamase family
443879,Hcp beta-lactamase family
12702,Hcp beta-lactamase family
421988,Hcp beta-lactamase family
390973,Hcp beta-lactamase family
334454,Hcp beta-lactamase family
359558,Hcp beta-lactamase family
12660,Hcp beta-lactamase family
12424,Hcp beta-lactamase family
321427,Hcp beta-lactamase family
368456,Hcp beta-lactamase family
382254,Hcp beta-lactamase family
235955,Hcp beta-lactamase family
14869,Hcp beta-lactamase family
12448,Hcp beta-lactamase family
14775,Hcp beta-lactamase family
274171,Hcp beta-lactamase family
432252,Hcp beta-lactamase family
334344,Hcp beta-lactamase family
278106,Hcp beta-lactamase family
13545,Hcp beta-lactamase family
8067,Hcp beta-lactamase family
402996,Hcp beta-lactamase family
335088,Hcp beta-lactamase family
161582,Hcp beta-lactamase family
434137,Hcp beta-lactamase family
334060,Hcp beta-lactamase family
37101,Hcp beta-lactamase family
14377,Hcp beta-lactamase family
12720,Hcp beta-lactamase family
70153,Hcp beta-lactamase family
335021,Hcp beta-lactamase family
134381,Hcp beta-lactamase family
453285,Hcp beta-lactamase family
267604,Hcp beta-lactamase family
105930,Hcp beta-lactamase family
148122,Hcp beta-lactamase family
43634,Hcp beta-lactamase family
14081,Hcp beta-lactamase family
10620,Hcp beta-lactamase family
72514,Hcp beta-lactamase family
83076,Hcp beta-lactamase family
314459,Hcp beta-lactamase family
10421,Hcp beta-lactamase family
470249,Hcp beta-lactamase family
87109,Hcp beta-lactamase family
381966,Hcp beta-lactamase family
104648,Hcp beta-lactamase family
302100,Hcp beta-lactamase family
2349,Hcp beta-lactamase family
30455,Hcp beta-lactamase family
176317,Hcp beta-lactamase family
15085,Hcp beta-lactamase family
419159,Hcp beta-lactamase family
13661,Hcp beta-lactamase family
10699,Hcp beta-lactamase family
303623,Hcp beta-lactamase family
134161,Hcp beta-lactamase family
303529,Hcp beta-lactamase family
149135,Hcp beta-lactamase family
106438,Hcp beta-lactamase family
23384,Hcp beta-lactamase family
273320,Hcp beta-lactamase family
61933,Hcp beta-lactamase family
106055,Hcp beta-lactamase family
334562,Hcp beta-lactamase family
502430,Hcp beta-lactamase family
334624,Hcp beta-lactamase family
13544,Hcp beta-lactamase family
73933,Hcp beta-lactamase family
44424,Hcp beta-lactamase family
14324,Hcp beta-lactamase family
375554,Hcp beta-lactamase family
13387,Hcp beta-lactamase family
335363,Hcp beta-lactamase family
343891,Hcp beta-lactamase family
54043,Hcp beta-lactamase family
354310,Hcp beta-lactamase family
12425,Hcp beta-lactamase family
421456,Hcp beta-lactamase family
14536,Hcp beta-lactamase family
154363,Hcp beta-lactamase family
37648,Hcp beta-lactamase family
446249,Hcp beta-lactamase family
23229,Hcp beta-lactamase family
14113,Hcp beta-lactamase family
382782,Hcp beta-lactamase family
302398,Hcp beta-lactamase family
88689,Hcp beta-lactamase family
335448,Hcp beta-lactamase family
334011,Hcp beta-lactamase family
13996,Hcp beta-lactamase family
328487,Hcp beta-lactamase family
14140,Hcp beta-lactamase family
